Order Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Profit
2014-01-02,First Class,Consumer,United States,Green Bay,Wisconsin,Central,Technology,Accessories,468.9,6,206.316
2014-01-03,Second Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,457.568,2,51.4764
2014-01-03,Standard Class,Home Office,United States,New York City,New York,East,Technology,Phones,5.94,3,1.6038
2014-01-03,Standard Class,Home Office,United States,Elmhurst,Illinois,Central,Furniture,Chairs,634.116,6,-172.1172
2014-01-03,Standard Class,Home Office,United States,Elmhurst,Illinois,Central,Office Supplies,Paper,17.472,3,5.6784
2014-01-03,Standard Class,Consumer,United States,El Paso,Texas,Central,Office Supplies,Fasteners,18.84,5,-3.5325
2014-01-03,Standard Class,Consumer,United States,El Paso,Texas,Central,Furniture,Chairs,362.25,6,0
2014-01-03,Standard Class,Consumer,United States,El Paso,Texas,Central,Furniture,Furnishings,63.552,6,-34.9536
2014-01-03,Standard Class,Consumer,United States,El Paso,Texas,Central,Office Supplies,Storage,129.552,3,-22.6716
2014-01-03,Standard Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Storage,137.352,3,8.5845
2014-01-03,Standard Class,Consumer,United States,Houston,Texas,Central,Furniture,Tables,376.509,3,-43.0296
2014-01-04,Second Class,Consumer,United States,Vallejo,California,West,Office Supplies,Labels,29.6,2,14.8
2014-01-04,Second Class,Consumer,United States,Vallejo,California,West,Office Supplies,Binders,17.088,4,5.5536
2014-01-04,Standard Class,Corporate,United States,Revere,Massachusetts,East,Office Supplies,Storage,66.96,4,2.6784
2014-01-04,Standard Class,Corporate,United States,Revere,Massachusetts,East,Office Supplies,Binders,6.24,2,3.0576
2014-01-06,Second Class,Home Office,United States,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,580.5394
2014-01-06,Second Class,Home Office,United States,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,2,41.68
2014-01-06,Second Class,Home Office,United States,Lakeville,Minnesota,Central,Office Supplies,Paper,47.88,6,23.94
2014-01-06,Second Class,Home Office,United States,Lakeville,Minnesota,Central,Office Supplies,Appliances,1503.25,5,496.0725
2014-01-06,Second Class,Home Office,United States,Lakeville,Minnesota,Central,Office Supplies,Paper,25.92,4,12.4416
2014-01-06,Standard Class,Home Office,United States,Lakewood,New Jersey,East,Office Supplies,Binders,45.48,3,20.9208
2014-01-06,Standard Class,Home Office,United States,Lakewood,New Jersey,East,Office Supplies,Art,289.2,6,83.868
2014-01-06,Standard Class,Consumer,United States,Little Rock,Arkansas,South,Furniture,Furnishings,22.2,6,9.102
2014-01-06,Standard Class,Consumer,United States,Little Rock,Arkansas,South,Technology,Phones,881.93,7,229.3018
2014-01-06,Standard Class,Corporate,United States,Detroit,Michigan,Central,Office Supplies,Binders,138.56,4,66.5088
2014-01-06,Standard Class,Corporate,United States,Detroit,Michigan,Central,Office Supplies,Appliances,65.52,5,12.376
2014-01-07,Second Class,Corporate,United States,Seattle,Washington,West,Office Supplies,Binders,19.92,5,6.972
2014-01-07,Standard Class,Corporate,United States,Deltona,Florida,South,Technology,Phones,575.92,2,71.99
2014-01-07,Standard Class,Corporate,United States,Deltona,Florida,South,Office Supplies,Binders,5.184,6,-3.6288
2014-01-08,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Labels,17.544,3,5.9211
2014-01-08,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Furniture,Furnishings,44.128,4,12.1352
2014-01-08,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Appliances,62.92,1,10.2245
2014-01-08,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Paper,78.304,2,29.364
2014-01-08,First Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,19.752,3,6.9132
2014-01-08,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,5.68,2,1.917
2014-01-09,Second Class,Consumer,United States,Escondido,California,West,Office Supplies,Art,53.94,3,15.6426
2014-01-09,First Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Binders,3.648,3,-6.0192
2014-01-09,First Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Paper,31.104,6,10.8864
2014-01-09,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,23.744,2,8.3104
2014-01-09,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,357,3,57.12
2014-01-10,Standard Class,Home Office,United States,Reno,Nevada,West,Office Supplies,Fasteners,4.71,1,0
2014-01-11,Standard Class,Consumer,United States,Denver,Colorado,West,Office Supplies,Art,43.176,3,4.3176
2014-01-11,Standard Class,Consumer,United States,Denver,Colorado,West,Technology,Phones,1983.968,4,247.996
2014-01-11,Standard Class,Consumer,United States,Portland,Oregon,West,Office Supplies,Storage,443.92,5,-94.333
2014-01-11,Standard Class,Consumer,United States,Portland,Oregon,West,Technology,Phones,155.976,3,54.5916
2014-01-11,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Fasteners,7.52,5,1.41
2014-01-11,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Art,10.272,3,0.8988
2014-01-11,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Labels,47.808,12,15.5376
2014-01-11,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Technology,Phones,978.84,9,110.1195
2014-01-11,Standard Class,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Paper,15.696,3,5.1012
2014-01-11,Standard Class,Corporate,United States,Richmond,Kentucky,South,Office Supplies,Storage,69.52,2,19.4656
2014-01-11,Standard Class,Corporate,United States,Richmond,Kentucky,South,Office Supplies,Art,5.64,3,1.6356
2014-01-11,Standard Class,Home Office,United States,Los Angeles,California,West,Office Supplies,Labels,44.4,3,22.2
2014-01-11,Standard Class,Home Office,United States,Los Angeles,California,West,Office Supplies,Paper,21.4,5,9.63
2014-01-11,Standard Class,Consumer,United States,Long Beach,New York,East,Office Supplies,Appliances,533.94,3,154.8426
2014-01-11,Standard Class,Consumer,United States,Long Beach,New York,East,Office Supplies,Paper,167.94,3,82.2906
2014-01-11,Standard Class,Consumer,United States,Long Beach,New York,East,Furniture,Furnishings,31.68,6,9.8208
2014-01-11,Standard Class,Corporate,United States,Orange,New Jersey,East,Office Supplies,Appliances,76.12,2,22.0748
2014-01-11,First Class,Corporate,United States,Mason,Ohio,East,Furniture,Furnishings,68.704,2,16.3172
2014-01-11,First Class,Corporate,United States,Mason,Ohio,East,Office Supplies,Binders,3.132,2,-2.61
2014-01-11,First Class,Corporate,United States,Mason,Ohio,East,Office Supplies,Binders,22.428,3,-17.9424
2014-01-12,First Class,Consumer,United States,Madison,Wisconsin,Central,Furniture,Chairs,2807.84,8,673.8816
2014-01-12,First Class,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Art,46.64,4,12.5928
2014-01-12,Standard Class,Consumer,United States,San Francisco,California,West,Furniture,Furnishings,58.2,3,28.518
2014-01-12,Standard Class,Consumer,United States,Jacksonville,North Carolina,South,Technology,Phones,95.968,4,9.5968
2014-01-12,Second Class,Consumer,United States,Columbus,Ohio,East,Technology,Copiers,659.988,2,109.998
2014-01-12,Second Class,Consumer,United States,Columbus,Ohio,East,Furniture,Furnishings,8.128,2,1.4224
2014-01-12,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,36.288,7,12.7008
2014-01-12,Second Class,Consumer,United States,Columbus,Ohio,East,Furniture,Chairs,909.72,6,-51.984
2014-01-12,Second Class,Corporate,United States,Houston,Texas,Central,Furniture,Chairs,674.058,3,-19.2588
2014-01-12,First Class,Consumer,United States,Lowell,Massachusetts,East,Technology,Phones,271.9,2,78.851
2014-01-12,First Class,Consumer,United States,Lowell,Massachusetts,East,Furniture,Furnishings,45.84,3,15.5856
2014-01-12,First Class,Consumer,United States,Lowell,Massachusetts,East,Furniture,Furnishings,9.82,2,3.2406
2014-02-02,Standard Class,Home Office,United States,San Diego,California,West,Office Supplies,Fasteners,12.35,5,5.8045
2014-02-02,Standard Class,Consumer,United States,Saint Petersburg,Florida,South,Office Supplies,Binders,18.336,2,-12.224
2014-02-02,Standard Class,Consumer,United States,Saint Petersburg,Florida,South,Technology,Phones,180.96,5,13.572
2014-02-03,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Envelopes,11.36,2,5.3392
2014-02-03,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Paper,36.4,5,17.472
2014-02-03,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Paper,3.424,1,1.07
2014-02-03,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,151.2,3,32.13
2014-02-04,Standard Class,Consumer,United States,Athens,Georgia,South,Office Supplies,Paper,15.84,3,7.128
2014-02-04,Standard Class,Consumer,United States,Athens,Georgia,South,Technology,Phones,1049.93,7,293.9804
2014-02-04,Standard Class,Consumer,United States,Athens,Georgia,South,Office Supplies,Appliances,154.9,5,40.274
2014-02-04,Second Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Paper,26.72,5,9.352
2014-02-04,Second Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Paper,33.488,7,10.465
2014-02-04,Standard Class,Corporate,United States,Virginia Beach,Virginia,South,Furniture,Furnishings,177.68,2,46.1968
2014-02-05,Same Day,Consumer,United States,Columbus,Ohio,East,Office Supplies,Appliances,26.136,3,1.9602
2014-02-05,Second Class,Consumer,United States,Lakeland,Florida,South,Technology,Copiers,479.984,2,89.997
2014-02-06,Standard Class,Home Office,United States,Orem,Utah,West,Office Supplies,Binders,59.808,3,19.4376
2014-02-06,Standard Class,Home Office,United States,Orem,Utah,West,Furniture,Furnishings,73.32,6,21.996
2014-02-06,Standard Class,Consumer,United States,Roswell,Georgia,South,Office Supplies,Art,8.56,2,2.6536
2014-02-06,Standard Class,Consumer,United States,Roswell,Georgia,South,Technology,Phones,239.97,3,67.1916
2014-02-06,Standard Class,Consumer,United States,Roswell,Georgia,South,Office Supplies,Storage,356.94,2,107.082
2014-02-07,Standard Class,Consumer,United States,Plainfield,New Jersey,East,Technology,Phones,73.98,2,19.9746
2014-02-07,Standard Class,Consumer,United States,Plainfield,New Jersey,East,Office Supplies,Art,5.58,1,2.1762
2014-02-08,Standard Class,Home Office,United States,Springfield,Missouri,Central,Office Supplies,Binders,26.7,5,12.549
2014-02-08,Standard Class,Home Office,United States,Springfield,Missouri,Central,Technology,Accessories,21.2,2,9.116
2014-02-08,Standard Class,Home Office,United States,Springfield,Missouri,Central,Office Supplies,Storage,838.38,2,226.3626
2014-02-09,First Class,Consumer,United States,Watertown,New York,East,Office Supplies,Appliances,19.9,1,8.955
2014-02-09,First Class,Consumer,United States,Watertown,New York,East,Furniture,Furnishings,70.71,1,4.9497
2014-02-09,First Class,Consumer,United States,New York City,New York,East,Office Supplies,Art,21.24,3,8.0712
2014-02-09,First Class,Consumer,United States,New York City,New York,East,Office Supplies,Art,57.75,5,16.17
2014-02-09,First Class,Consumer,United States,New York City,New York,East,Office Supplies,Paper,14.94,3,7.0218
2014-02-09,Second Class,Consumer,United States,Chicago,Illinois,Central,Technology,Accessories,239.976,3,53.9946
2014-02-09,Standard Class,Corporate,United States,Houston,Texas,Central,Technology,Machines,559.71,3,-121.2705
2014-02-09,Standard Class,Consumer,United States,Fayetteville,Arkansas,South,Office Supplies,Binders,1793.98,2,843.1706
2014-02-09,Standard Class,Consumer,United States,Buffalo Grove,Illinois,Central,Technology,Accessories,475.944,7,95.1888
2014-02-10,First Class,Corporate,United States,Tempe,Arizona,West,Office Supplies,Paper,9.408,2,3.4104
2014-02-10,First Class,Corporate,United States,Tempe,Arizona,West,Office Supplies,Fasteners,4.672,2,1.46
2014-02-10,First Class,Corporate,United States,Tempe,Arizona,West,Technology,Phones,318.4,2,107.46
2014-02-10,First Class,Corporate,United States,Tempe,Arizona,West,Office Supplies,Envelopes,12.768,6,4.6284
2014-02-10,First Class,Corporate,United States,Tempe,Arizona,West,Office Supplies,Supplies,15.36,2,-3.264
2014-02-10,First Class,Corporate,United States,Tempe,Arizona,West,Technology,Phones,230.376,3,20.1579
2014-02-10,First Class,Corporate,United States,Tempe,Arizona,West,Technology,Accessories,7.16,1,-0.0895
2014-02-11,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Labels,34.86,7,16.0356
2014-02-11,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Furnishings,89.34,6,24.1218
2014-02-11,Standard Class,Consumer,United States,Irving,Texas,Central,Technology,Phones,88.776,3,7.7679
2014-02-11,Standard Class,Consumer,United States,Medina,Ohio,East,Technology,Phones,539.964,6,-107.9928
2014-02-11,Standard Class,Consumer,United States,Medina,Ohio,East,Technology,Phones,50.232,7,-10.0464
2014-02-11,Standard Class,Consumer,United States,Medina,Ohio,East,Office Supplies,Binders,19.242,3,-13.4694
2014-02-11,Standard Class,Home Office,United States,Fort Lauderdale,Florida,South,Technology,Accessories,799.92,10,239.976
2014-02-11,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Phones,46.384,2,5.2182
2014-02-11,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,362.92,2,105.2468
2014-02-11,Second Class,Corporate,United States,Seattle,Washington,West,Technology,Accessories,41.94,2,15.0984
2014-02-11,Second Class,Corporate,United States,Seattle,Washington,West,Technology,Phones,52.792,1,4.6193
2014-02-12,First Class,Consumer,United States,New York City,New York,East,Technology,Accessories,119.96,4,52.7824
2014-02-12,First Class,Consumer,United States,New York City,New York,East,Furniture,Bookcases,883.92,5,-110.49
2014-02-12,First Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,46.72,8,15.768
2014-02-12,Standard Class,Corporate,United States,Corpus Christi,Texas,Central,Furniture,Furnishings,58.36,5,-24.803
2014-02-12,Standard Class,Corporate,United States,Corpus Christi,Texas,Central,Office Supplies,Art,16.464,7,1.4406
2014-02-12,Standard Class,Corporate,United States,Corpus Christi,Texas,Central,Furniture,Furnishings,39.96,5,-23.976
2014-02-12,Standard Class,Corporate,United States,Columbus,Ohio,East,Technology,Accessories,119.8,5,29.95
2014-02-12,First Class,Consumer,United States,Chicago,Illinois,Central,Office Supplies,Appliances,2.394,1,-6.3441
2014-02-12,Standard Class,Corporate,United States,Clinton,Maryland,East,Furniture,Furnishings,60.72,3,23.6808
2014-02-12,Standard Class,Corporate,United States,Clinton,Maryland,East,Office Supplies,Paper,146.82,3,73.41
2014-02-12,Standard Class,Corporate,United States,Clinton,Maryland,East,Furniture,Chairs,239.84,8,64.7568
2014-02-12,Standard Class,Corporate,United States,Clinton,Maryland,East,Office Supplies,Labels,15.66,6,7.2036
2014-02-12,Standard Class,Corporate,United States,Sandy Springs,Georgia,South,Technology,Accessories,5.95,1,0.833
2014-02-12,Standard Class,Corporate,United States,Sandy Springs,Georgia,South,Office Supplies,Paper,15.24,3,7.1628
2014-03-01,Standard Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Paper,16.448,2,5.5512
2014-03-02,Second Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,83.84,2,27.248
2014-03-02,Second Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,13.272,3,4.3134
2014-03-03,Second Class,Consumer,United States,Wilmington,North Carolina,South,Office Supplies,Art,19.456,4,3.4048
2014-03-03,Standard Class,Home Office,United States,New York City,New York,East,Technology,Phones,9.99,1,4.5954
2014-03-03,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Binders,125.76,3,40.872
2014-03-03,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Binders,25.32,5,9.1785
2014-03-03,Standard Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Labels,15.12,3,4.914
2014-03-03,Standard Class,Corporate,United States,Columbus,Ohio,East,Furniture,Bookcases,302.45,5,-199.617
2014-03-03,Standard Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Storage,44.672,8,-10.0512
2014-03-03,Standard Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Appliances,176.772,3,-459.6072
2014-03-03,Standard Class,Consumer,United States,San Diego,California,West,Furniture,Tables,626.352,3,-23.4882
2014-03-04,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Envelopes,11.16,2,5.58
2014-03-04,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Accessories,62.31,3,22.4316
2014-03-04,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Accessories,159.98,2,57.5928
2014-03-05,First Class,Home Office,United States,Appleton,Wisconsin,Central,Office Supplies,Labels,21.56,7,10.3488
2014-03-05,Standard Class,Consumer,United States,Yonkers,New York,East,Office Supplies,Binders,40.176,3,14.5638
2014-03-05,Standard Class,Consumer,United States,Yonkers,New York,East,Office Supplies,Binders,10.896,3,3.9498
2014-03-06,Second Class,Consumer,United States,Seattle,Washington,West,Furniture,Tables,515.88,6,113.4936
2014-03-06,Second Class,Home Office,United States,Midland,Michigan,Central,Office Supplies,Envelopes,15.28,2,7.4872
2014-03-06,First Class,Consumer,United States,Decatur,Illinois,Central,Office Supplies,Labels,15.936,4,5.1792
2014-03-06,First Class,Consumer,United States,Decatur,Illinois,Central,Furniture,Furnishings,61.544,7,-40.0036
2014-03-06,First Class,Consumer,United States,Decatur,Illinois,Central,Office Supplies,Storage,132.696,3,9.9522
2014-03-08,First Class,Consumer,United States,Denver,Colorado,West,Furniture,Tables,218.75,2,-161.875
2014-03-08,First Class,Consumer,United States,Denver,Colorado,West,Office Supplies,Appliances,2.6,1,0.2925
2014-03-08,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Paper,39.96,2,18.7812
2014-03-08,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Supplies,102.3,10,26.598
2014-03-08,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Storage,21.36,2,5.7672
2014-03-08,Second Class,Home Office,United States,Glendale,Arizona,West,Office Supplies,Paper,93.024,3,33.7212
2014-03-09,Same Day,Consumer,United States,New York City,New York,East,Office Supplies,Labels,14.4,5,7.056
2014-03-09,First Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Binders,7.68,5,-11.52
2014-03-10,Second Class,Consumer,United States,Evanston,Illinois,Central,Furniture,Chairs,258.279,3,-70.1043
2014-03-10,Second Class,Corporate,United States,Los Angeles,California,West,Furniture,Tables,143.432,1,3.5858
2014-03-10,Second Class,Corporate,United States,Los Angeles,California,West,Furniture,Chairs,122.352,3,13.7646
2014-03-10,Standard Class,Home Office,United States,Durham,North Carolina,South,Office Supplies,Storage,61.568,2,4.6176
2014-03-10,Standard Class,Home Office,United States,Durham,North Carolina,South,Office Supplies,Art,6.192,3,0.4644
2014-03-10,Same Day,Consumer,United States,Columbus,Ohio,East,Office Supplies,Art,55.984,2,4.1988
2014-03-10,Same Day,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,14.48,5,4.887
2014-03-10,Same Day,Consumer,United States,Columbus,Ohio,East,Technology,Accessories,142.488,3,-3.5622
2014-03-10,Standard Class,Consumer,United States,Dallas,Texas,Central,Office Supplies,Fasteners,4.344,3,0.8688
2014-03-10,Standard Class,Consumer,United States,Dallas,Texas,Central,Furniture,Furnishings,31.776,3,-19.0656
2014-03-10,Standard Class,Consumer,United States,Dallas,Texas,Central,Office Supplies,Labels,4.928,2,1.7248
2014-03-10,Standard Class,Consumer,United States,Dallas,Texas,Central,Office Supplies,Binders,1.788,3,-3.0396
2014-03-10,Standard Class,Consumer,United States,Dallas,Texas,Central,Office Supplies,Fasteners,15.072,4,-3.768
2014-03-11,Standard Class,Consumer,United States,Lancaster,Pennsylvania,East,Office Supplies,Supplies,286.344,3,-64.4274
2014-03-11,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,783.96,4,219.5088
2014-03-11,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,48.896,2,18.336
2014-03-11,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,7.856,2,2.8478
2014-03-11,Standard Class,Consumer,United States,Fairfield,Connecticut,East,Office Supplies,Supplies,11.64,3,3.3756
2014-03-11,Standard Class,Consumer,United States,Nashville,Tennessee,South,Office Supplies,Paper,3.488,2,1.1772
